Instructor Name,Total Ins's Courses,Total Ins's Students,Total Ins Reviews,Avg Ins Rating,Instructor_ID
Abhilash Vijay,1,61,11,4.2,144
Abhimanyu Kumar Vatsa,1,32,4,3.4,145
Abhin Chhabra,4,55070,2293,4.7,146
Abhinav Bansal,14,125,23,3.6,147
Abhishek Agarwal,1,769,23,4.0,148
Abhishek Barkade,1,435,44,4.1,149
Abhishek Bhowmick,10,84,7,3.0,150
Abhishek CSEPracticals,26,48709,6569,4.5,151
Abhishek Gangwar,1,126,26,4.2,152
Abhishek Ghosh,1,5184,446,4.1,153
Abhishek Kashyap,1,2,1,5.0,154
Abhishek Kumar,8,10427,442,4.1,155
Abhishek Luv,6,29991,937,4.1,156
Abhishek Potula,5,11600,61,4.4,157
Abhishek Pughazh,3,86006,1793,4.5,158
Abhishek Roy,2,1742,79,3.6,159
Abhishek singh,1,2287,187,4.5,160
Abid Majeed,2,8289,43,4.3,161
Abid Malik,4,10256,826,4.7,162
AbleAppsDev .,2,38350,1137,4.3,163
Ableversity Incorporated,11,7476,1629,4.5,164
Abner Francisco Casallo Trauco,7,4510,487,4.6,165
Abode QA,4,8323,1158,4.1,166
Abraham Ramirez,4,4827,1258,4.1,167
Abul Hossain,6,10991,307,4.2,168
Academia Apps,21,259790,11218,4.5,169
Academia Joystick,3,66372,663,4.5,170
Academia SOFI - Claudia A. Castillo Chavarro y Juan Manuel Sánchez Barrero,2,478,121,4.6,171
Academind by Maximilian Schwarzmüller,48,3242486,777956,4.7,172
Academy of Computing & Artificial Intelligence,19,226903,3301,4.1,173
Adam Almounayar,1,8,4,4.5,174
Adam Eldeek,1,106,14,3.8,175
Adam Hayward,1,284,82,4.6,176
Adam Janes,2,28102,5869,4.5,177
Adam Jones,1,28,12,4.9,178
Adam Kelly Immersive Limit,2,1988,612,4.6,179
Adam McQuistan,7,9297,931,4.4,180
Adam Ross Nelson,2,6064,47,4.7,181
Adam Varga,3,3295,95,4.3,182
Adapption Tech,1,2444,71,3.8,183
Adapt Sites,2,2590,42,4.2,184
Adarsh Menon,2,4411,17,4.6,185
Adastra Academy,6,51383,5281,4.0,186
Adeel Ahmad,1,3130,352,4.6,187
Adel Hales,1,151,8,5.0,188
Adel Mahmoud,1,60,6,4.2,189
Adel Sabour,2,553,119,4.5,190
Adeleke Samuel,1,18,4,3.5,191
Adeleye Ayodeji,2,49,6,4.7,192
Adem F Yalçın,4,1218,54,4.7,193
Adem KEKLIK,1,5,3,4.8,194
Ademílson Tonato,1,6,1,5.0,195
Aderson Oliveira,1,5831,575,4.6,196
Adhithiya H,1,11,4,5.0,197
Adiel nogueira narcizo,1,1218,251,4.4,198
Adil Outlit,4,4030,281,4.5,199
Adil Çelik,2,7962,901,4.3,200
Adilson Perinei,3,7685,1505,4.6,201
Adith Sreeram,1,62,14,4.5,202
Aditya Agrawal,1,51,7,3.8,203
Aditya Chandak,1,2727,25,4.2,204
Aditya Putri Pertiwi,1,190,31,4.2,205
Aditya S,3,1084,158,4.1,206
Aditya S Kadam,3,131,16,4.2,207
Aditya Shankarnarayan,1,6379,75,4.2,208
Admas Kinfu,7,178317,15242,4.5,209
Adnan Ahmad,1,15789,410,4.4,210
Adnan Arif,1,1267,39,4.6,211
Adnan Fayyaz,1,1742,57,3.4,212
Adnan Kaya,1,95,2,5.0,213
Adnan Waheed,15,44468,5367,4.5,214
Adnan ÖNCEVARLIK,3,1910,534,4.6,215
Adolfo Chavez Cantu,2,1424,50,4.6,216
Adonis Bou Chakra,1,3679,915,4.2,217
Adri HM,2,1211,212,4.4,218
Adria Jimenez,9,14830,1126,4.1,219
Adrian / Redefine Gamedev,2,928,61,4.4,220
Adrian Alfonso Alcantara Valencia,4,12320,268,4.4,221
Adrian Bienias,4,9631,299,4.5,222
Adrian Henry,2,2609,244,4.1,223
Adrian Heras,1,106678,223,4.5,224
Adrian Mechato,3,1383,194,4.3,225
Adrian Rutkowski,1,260,75,4.5,226
Adrian Szuszkiewicz,2,9002,2055,4.7,227
Adrian Wiech,6,85766,21991,4.6,228
Adriana Cerdeira,6,5775,501,4.7,229
Adriano de Souza,5,2969,350,4.6,230
Adrien Gerber,1,36,12,4.8,231
Adrien Morim,1,1790,92,4.5,232
Adrián Javier Tagüico,14,47853,1003,4.2,233
Adu Amankwah Isaac,4,3827,26,4.3,234
Advaith Gollapudi,1,16571,147,4.3,235
Advancedor Academy,11,939,118,4.5,236
Aeraaf Patel,5,47418,400,4.0,237
Afaan Bilal,3,421,55,4.5,238
Aftab Syed,3,12507,676,4.2,239
Afterclap Academy,15,7176,628,4.5,240
Agile Testing Alliance Org,6,35552,172,4.1,241
AgileBill Krebs,1,293,29,3.8,242
Agus Kurniawan,36,3878,625,4.0,243
Agustin Navarro Galdon,29,176295,13995,4.4,244
Agência Casa Mais Inovação Digital e Imersiva,5,267,25,4.0,245
Ahad Shalwani,4,39600,781,4.3,246
Ahmad A7,2,1074,36,4.3,247
Ahmad Aburizaiza,1,3996,974,4.2,248
Ahmad Al-shurafa,3,4027,561,4.7,249
Ahmad Barham,3,33,21,4.6,250
Ahmad Dar Khalil,2,3562,156,4.3,251
Ahmad Hassan,2,0,0,0.0,252
Ahmad Lala,2,7094,200,4.2,253
Ahmad Mohammad,5,2150,19,4.2,254
Ahmad Mohey,5,38581,3295,4.4,255
Ahmad Mohsin,1,29,3,4.8,256
Ahmad Mujahid,3,27090,108,4.7,257
Ahmad Mustafa,3,6855,33,4.5,258
Ahmad Naser,4,22337,1624,3.7,259
Ahmad Robin Sedeqi,1,389,2,4.0,260
Ahmad Sami,1,52,14,4.6,261
Ahmed AL-GAILANI,1,5587,179,4.6,262
Ahmed Abdelbaset,1,255,2,4.8,263
Ahmed Abdelnabi,1,2350,269,4.1,264
Ahmed Abdo,1,1228,19,4.8,265
Ahmed Abdullah,1,13,2,3.6,266
Ahmed Adel,1,1351,86,4.5,267
Ahmed Ahmed Hassan,2,18503,204,4.2,268
Ahmed Al Wakeel,3,4485,110,4.4,269
Ahmed Alhallag,1,91,11,4.4,270
Ahmed Ali,9,8284,234,4.5,271
Ahmed Ashraf Abdel Gwwad,1,4,1,5.0,272
Ahmed Aziz,2,1582,61,4.8,273
Ahmed Bakr,2,10547,297,4.2,274
Ahmed Baraka,13,10929,4613,4.6,275
Ahmed Belal,2,2620,124,4.6,276
Ahmed Boghdady,2,4958,1029,4.7,277
Ahmed El Mohandes,17,686852,16482,4.3,278
Ahmed El sheikh,19,3301,2182,4.7,279
Ahmed Elesawy,17,56632,1209,4.4,280
Ahmed Elfakharany,12,27682,2384,4.6,281
Ahmed Elkhatib,1,207,32,4.7,282
Ahmed Elsaid,5,11505,290,4.7,283
Ahmed Elsakka,6,59696,892,4.4,284
Ahmed Emad Hamdy,3,5563,308,4.5,285
Ahmed Fahim,3,350,92,4.5,286
"Ahmed Fathy, MSc",6,45348,908,4.5,287
Ahmed Fessi,4,48404,21193,4.4,288
Ahmed Gad,1,329,232,4.7,289
Ahmed Gamal Ghazi,11,9819,673,4.2,290
Ahmed Genedy,1,1130,351,4.4,291
Ahmed Hassan Ahmed,20,432,160,3.8,292
Ahmed Hisham,1,519,106,4.8,293
Ahmed Ibrahem,1,3254,52,3.6,294
Ahmed Ibrahim,1,3762,323,4.3,295
"Ahmed Karam, M.Sc.",4,5768,408,4.0,296
Ahmed Mahdi,3,72,0,0.0,297
Ahmed Mahmoud Mohammed Abd Elgalil,2,7636,193,4.1,298
Ahmed Mohamady,5,5119,469,4.5,299
Ahmed Mohamed Ibrahim,5,5950,111,4.5,300
Ahmed Mohammed Alsayed Ibrahim Alsaginy,1,1900,17,4.4,301
Ahmed Mohammed Nagdy,1,1630,92,4.5,302
Ahmed Moosa,2,3804,209,4.3,303
Ahmed Oyelowo,10,96898,7163,4.4,304
Ahmed Rafik,3,34718,4692,4.4,305
Ahmed Rami Dilmi,1,28,3,3.5,306
Ahmed Rezk,4,530,88,4.5,307
Ahmed Sadek,4,28156,2946,4.7,308
Ahmed Saeed,1,26,2,4.8,309
Ahmed Salem,1,6,1,5.0,310
Ahmed Sameer,2,109,13,4.1,311
Ahmed Samy El-khouly,4,217,103,4.4,312
Ahmed Sawy,1,110,14,4.5,313
Ahmed Syam,1,4,3,3.5,314
Ahmed Tabana,1,15073,98,4.4,315
Ahmed Yassin,14,4530,367,4.5,316
Ahmed Zeyada,2,8304,156,2.7,317
Ahmed Zidan,2,136,4,4.7,318
Ahmed ahmed,2,330,35,4.1,319
Ahmed karem,1,7636,155,4.1,320
Ahmet Aydın,2,2687,276,4.2,321
Ahmet Burak SANLAV,5,4048,1005,3.9,322
Ahmet Buğra Çakıcı,3,35512,897,4.2,323
Ahmet BİLSEL,3,373,70,4.7,324
Ahmet Can YILMAZ,1,125,21,5.0,325
Ahmet Enes Yalçınkaya,1,5071,122,4.3,326
Ahmet Furkan Yalçın,1,128,16,4.8,327
Ahmet Göker,1,1346,13,4.5,328
Ahmet Kaya,7,8933,708,4.3,329
Ahmet Kocabiyik,1,692,261,3.8,330
Ahmet Nazmi Taşkın,1,39,7,4.0,331
Ahmet Sabry Mahfouz,7,13507,91,4.4,332
Ahmet Terkir,2,49508,649,3.8,333
Ahmet iyilikbilen,1,10,2,4.5,334
Aidan Brotherhood,2,16,0,0.0,335
Aidan Perry,3,14291,2523,4.5,336
Ailton Vieira,1,839,117,4.8,337
Aizaz dinho,9,29961,725,4.4,338
Ajay Iyengar,4,6612,1105,4.4,339
Ajay Kumar,1,513,122,4.3,340
Ajay Paul,5,13658,400,4.1,341
Ajay Tech,3,232394,6373,4.3,342
Ajay Warrier,7,52594,2040,4.4,343
Ajiboye Temitope,1,20,1,4.5,344
Ajinkya Borade,1,5110,87,3.9,345
"AkaSkills! 35,000+ Students",8,39087,755,3.8,346
Akanksha Gupta,1,322,75,3.3,347
Akash Chaudhary,1,277,55,4.2,348
Akash Sunil Pawar,8,8744,290,4.2,349
Akbar Project,7,55,22,4.5,350
Akbar Shaikh,2,1042,300,4.1,351
Akhil Jain,1,1001,2,4.7,352
Akhil Mitta,1,106,40,4.1,353
Akhil Sarikonda,1,9203,64,4.1,354
Akhil Sharma,1,1569,121,4.4,355
Akhil Vydyula,42,54401,763,4.0,356
"Akhilendra Singh MBA, CSPO, PSM1",8,17794,2931,4.4,357
Akhmad Daniel Sembiring,23,5030,1349,4.5,358
Akhmed Idigov,4,8982,2108,4.5,359
Akihito Tamagawa,3,8668,2116,4.0,360
Akin Kaldiroglu,7,38653,6220,4.7,361
Akram Abdirizak,2,44560,1678,4.1,362
Akshat Verma,3,385,72,4.4,363
Akshay Kashyap,5,27662,1279,4.2,364
Akshay Nagpal,1,1733,21,3.6,365
Akshay Sharma,1,3270,655,4.5,366
Akyol Bilişim Hizmetleri,4,853,129,4.5,367
Al Sweigart,2,1202398,121022,4.7,368
Al-Harith Al-Hamdani,2,29,4,4.4,369
Ala Shiban,3,58250,2023,4.2,370
Alaa Eid,8,3425,99,4.1,371
Alaa Jalboush,2,29703,526,3.7,372
Alaaeldin Mohamed,3,33656,624,4.4,373
Alain Couchot,1,6614,575,4.3,374
Alain Nicolás Tello,22,140004,8834,4.5,375
Alam Mancera,3,29959,5037,4.6,376
Alan Antonio Rodriguez Flores,8,4322,498,4.3,377
Alan Richardson,1,15439,202,4.4,378
Alan Simpson,4,98773,7986,4.4,379
Alan Voigt,20,6093,1660,4.2,380
Alan Wagner,1,670,220,4.5,381
Alan Ye,8,21795,2354,4.6,382
Albert Rached,1,3475,75,4.6,383
Alberto Olla,5,59890,10214,4.4,384
Alcimar A. Costa,1,14188,1040,4.7,385
Aldair Tello Castañeda,1,22,1,4.0,386
Aldo Olivares,7,17016,3875,4.2,387
Alearnr Skills,1,1885,130,4.2,388
Alec Kriebel,1,1201,19,4.0,389
Alejandra Fernandez,3,44103,456,4.2,390
Alejandro Agapito Bautista,9,17720,5607,4.6,391
Alejandro Alvarado,1,92,27,4.3,392
Alejandro Guzman Castellanos,19,8292,1036,4.5,393
Alejandro Lora,7,148875,7695,4.3,394
Alejandro Petrelli,12,30540,777,4.3,395
Alejandro Rangel,2,4385,266,4.2,396
Alejandro Roca,5,5296,260,4.1,397
Alejandro Ruiz Olivares,1,180,9,4.5,398
Alejandro Susillo Ridao,2,63,9,4.7,399
Alejandro Toro Ossaba,1,24045,362,4.3,400
Aleks Krause,2,370,54,4.5,401
Aleksandr Bolotnikov,2,2161,175,4.7,402
Aleksandr Borkun,3,159,49,4.5,403
Aleksandr Mazurin,2,522,29,4.4,404
Aleksandr Romanov,2,1492,29,4.0,405
Aleksandr Vasko,1,4467,1441,4.4,406
Aleksej Khoroshevskij,3,1028,35,4.8,407
Alena Ananich,1,218,41,4.3,408
Alesandro Fidelis,2,146,31,4.6,409
Alessandro Argentieri,5,22675,1896,4.2,410
Alessandro Bemporad,5,35317,11361,4.5,411
Alessandro Di Trapani,3,1506,335,4.5,412
Alessandro Russo,2,3858,279,4.2,413
Alessandro Strongoli,32,3842,611,4.2,414
Alessio Barnini,2,316,95,4.3,415
Alessio Ferrari,11,9028,2136,4.5,416
Alex Bakker,4,49900,1363,4.4,417
Alex Brinkman,1,269,62,4.7,418
Alex Burg,1,2267,148,4.3,419
Alex Chaplinsky,3,7053,558,4.6,420
Alex Clements,2,58,8,4.7,421
Alex Cordebard,16,85353,15253,4.7,422
Alex Dan,14,249016,13797,4.6,423
Alex Dev,7,38735,4824,4.8,424
Alex Deva,4,4215,975,4.6,425
Alex Espejo Chavarría,10,10518,2917,4.5,426
Alex Fabi,1,11,4,4.8,427
Alex Fernando Egidio,4,48649,4456,4.6,428
Alex Fonseca,2,305,83,4.6,429
Alex Franck,5,250,9,4.1,430
Alex Genadinik,247,946829,126793,4.5,431
Alex Glonti,2,12233,295,4.4,432
Alex Grzechowski,1,10,1,5.0,433
Alex Javad,5,70,16,2.9,434
Alex Joel Pagoada Suazo,19,131652,10460,4.4,435
Alex Kozlov,1,3822,135,3.6,436
Alex Leone,1,44,14,4.2,437
Alex Mureithi Njagi,2,266,83,4.3,438
Alex Nagy,14,46327,400,4.0,439
Alex Petrovski,1,10626,1879,4.5,440
Alex Roel ChB,12,175061,11772,4.5,441
Alex Salomé Pastrana,12,6143,1472,4.4,442
Alex Uanvilay,2,2455,379,4.5,443
Alex Versus,2,289,37,4.0,444
Alex Yang,2,11442,520,4.4,445
Alex ZImmer,1,15,1,5.0,446
Alex Zvolinskiy,2,3150,279,4.0,447
AlexYH Chen,3,32,3,4.5,448
Alexander Batashov,5,516,99,4.0,449
Alexander Beatson,1,187,26,4.6,450
Alexander Bolaño Cervantes,2,1666,213,4.3,451
Alexander Chernov,1,1169,7,4.0,452
Alexander Fürst,1,17,7,4.8,453
Alexander Gutiérrez Vargas,1,24,4,4.9,454
Alexander Hagmann,21,143430,16835,4.6,455
Alexander Khyzhun,1,5,1,5.0,456
Alexander Kolosov,1,46,9,3.9,457
Alexander Nikiforov,1,93,22,4.7,458
Alexander Oni,27,257105,88086,4.5,459
Alexander Pushkarev,1,173,19,3.9,460
Alexander Schwartz,1,171,39,4.3,461
Alexander Schwarzbauer,1,22,9,4.4,462
Alexander Shavelev,1,4424,66,3.6,463
Alexander Urik,3,28918,148,4.1,464
Alexander Wong,9,5915,291,4.6,465
Alexander Zotov,1,415,51,4.4,466
Alexandr Sochirca,9,3862,839,4.5,467
Alexandr Tyurin,5,18005,567,4.3,468
Alexandra Abbas,2,2683,497,4.1,469
Alexandra Betouni,2,705,111,4.3,470
Alexandra Mirtcheva,1,593,38,4.1,471
Alexandra Müller,1,307,43,3.9,472
Alexandre Bourrieau,14,1265,244,4.6,473
Alexandre Cardoso [Clube Full-Stack],6,34641,866,4.6,474
Alexandre Genet,2,15065,63,4.3,475
Alexandre Katsuura,8,547,123,4.6,476
Alexandre Martins Melo,1,30,4,3.5,477
Alexandre Nunes,1,3852,1278,4.8,478
Alexandre Pereira de Oliveira,7,1002,177,4.6,479
Alexandre da Silva Ribeiro,2,2751,277,4.6,480
Alexandro Palacios,1,148,18,4.8,481
Alexandros Gkouvelis,1,35,9,3.9,482
Alexandru Dincă,2,1488,55,4.1,483
Alexandru Dumitru,1,84,14,4.1,484
Alexandru Rosu,2,11899,76,4.2,485
Alexandru Stoenescu,1,147,28,3.6,486
Alexis Gutierrez UXDEVOPS,2,5533,166,4.0,487
Alexis Jeansalle,3,1630,260,4.2,488
Alexsandro Souza,7,21364,287,4.6,489
Alfahelix Treinamentos,11,193306,37635,4.5,490
Alfonso Alcaide,6,18233,394,4.5,491
Alfonso Casegna,8,6354,1483,4.6,492
Alfred Reinold Baudisch,1,698,33,4.4,493
Alfred kakuli,2,1074,9,4.0,494
Alfredo Alejandro Zaldumbide Garcia,3,758,172,4.6,495
Alfredo Leal,14,30773,1857,4.6,496
Algo Foundry,2,246,53,4.6,497
Algoritma Uzmani,2,2523,214,4.3,498
Ali Abbas,1,31618,313,4.4,499
Ali Alaa,8,45714,6306,4.6,500
Ali Altun,1,149,21,4.3,501
Ali Badran,4,107671,3669,4.3,502
Ali Bokhari,46,328027,22931,4.2,503
Ali Cetinkaya,1,178,18,5.0,504
Ali Erbey,1,375,68,4.0,505
Ali Eren Gündüz,1,76,5,4.1,506
Ali Gelenler,6,49467,5297,4.4,507
Ali Hasnain,1,6,1,5.0,508
Ali Hassan Abbas,1,43,9,4.8,509
Ali Hassan Ali Hassan Elrayes,21,15127,1473,4.7,510
Ali Hossain,5,10958,1334,4.7,511
Ali KAHRAMAN,2,43350,919,4.4,512
Ali KALKAN,1,245,52,3.9,513
Ali Mehdy,4,4459,597,4.1,514
Ali Murtaza,1,4943,23,4.8,515
Ali Noman,1,1114,206,4.2,516
Ali Osman Kepir,1,78,13,4.3,517
Ali Saleh Ali,7,2881,585,4.5,518
Ali Shirani,2,118,19,4.6,519
Ali Yeşilırmak,5,1510,291,4.0,520
Ali Çınaroğlu,5,1877,438,4.5,521
Ali-Alakbar Ahmed,1,1,1,5.0,522
Aliaksandr Khvastovich,6,1440,365,4.7,523
Alian Saracevic,1,32,3,5.0,524
Alice M,2,1991,100,3.9,525
Alick Buscariolli,2,72,14,4.8,526
Alida Herbst,2,123,21,4.5,527
Alida School,1,7406,85,3.9,528
Alik Feld,4,16253,548,4.3,529
Alile VA,1,11,4,5.0,530
Alireza Chegini,4,24109,1305,4.4,531
Alisson Barroso Celedonio,1,282,88,3.8,532
Alisson Custódio,1,2229,76,4.1,533
Alisson Suassuna,4,1089,71,4.6,534
Alister Christie,6,270,113,4.1,535
Allan Agner,1,26,7,4.7,536
Allan Almeida de Araujo,6,7237,541,3.8,537
Allen Liu 劉曣全,2,4209,2053,4.8,538
Alonso Nava,16,34123,778,4.4,539
Aloui Mohamed Habib,7,5844,505,3.9,540
Alp Can,3,2528,93,4.7,541
Alp Timuçin Koçak,16,204890,27128,4.4,542
Alp alTaiyer,1,96,16,4.5,543
Alper Atan,1,8818,218,4.6,544
Alper Daldal,2,253,36,4.7,545
Alper Tunga,2,4908,822,4.6,546
"Alper ZEYTÜNLÜ, M.Sc.",2,18309,625,4.7,547
Alper ÇELİK,14,60948,3900,4.5,548
Alperen Talaslıoğlu,5,33727,1307,4.3,549
Alpha Channel,4,1196,242,4.6,550
Alpha Javascript,2,70,9,4.6,551
Alpha Omondi Ogilo,4,2934,404,4.5,552
Alston Godbolt,6,34991,884,4.4,553
Altamush Nayyer Khan,1,145,14,4.6,554
Altuğ Bilgin Altıntaş,1,5786,195,4.5,555
Alvaro Chirou • 2.000.000+ Enrollments Worldwide,118,634955,84503,4.5,556
Alvaro Guerra,5,1092,2,3.0,557
Alvaro Rodrigo Ribeiro,8,6265,572,4.6,558
Alvaro Romero Maldonado,2,37842,1626,4.4,559
Alvin Eizner,1,1021,82,4.2,560
Alvin Senjaya,1,35,11,4.1,561
Aman Anand,2,223,64,4.0,562
Aman Birdi,1,195,27,4.6,563
Amandeep Sawhney | HawkEye Data,16,140581,18357,4.5,564
Amandine Velt | Data Science - Python - R,2,6470,1743,4.7,565
Amar Awni,1,6338,97,4.9,566
Amar Malik,1,67,14,3.9,567
Amar Tripathi,5,10618,263,3.9,568
Amardeep Singh,3,614,78,4.3,569
Amazing Tutorials,5,4322,67,4.3,570
Ameen Bineabade,6,7875,114,4.2,571
Ameen Khan,1,2605,89,3.7,572
Ameer Nasser,1,1626,211,4.6,573
Amin Karami,2,10313,1261,4.5,574
Amina Saeed,2,2132,34,4.1,575
Aminder Singh,1,3579,74,4.0,576
Amir Elion,5,2462,271,4.4,577
Amir J,8,118972,1166,4.5,578
Amir Khan,1,49,13,4.2,579
Amir Mewlani Rad,1,408,68,4.5,580
Amir shahbabaee,4,47,2,5.0,581
Amirhossein Garousi,6,5879,310,4.3,582
Amit Arora,11,19941,7431,4.4,583
Amit Bhave,2,2241,80,4.1,584
Amit Kalra,2,548,68,3.5,585
